#NAME_KANJIÇÕ"NAME_KANJI_SEIÅ@NAME_KANJI_MEI"
#NAME_KANAÇÕ"NAME_KANA_SEIÅ@NAME_KANA_MEI"
#NENDO_WAREK2Å`5ÇÕ"NENDO"ÇÃêîéöÇ1Å`4ë´Ç∑ÅB

UKETUKE_NO 10010-999XX-A01-0001
SAIMOKU_NAME ÉfÅ[É^ÇTÇOï∂éöÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇX
BUNKASAIMOKU_CD2 XXXX
BUNYA_NAME2 ÉfÅ[É^ÇTÇOï∂éöÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇX
BUNKA_NAME2 ÉfÅ[É^ÇTÇOï∂éöÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇX
SAIMOKU_NAME2 ÉfÅ[É^ÇTÇOï∂éöÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇX
ZIP 111-1111
ADDRESS ÉfÅ[É^ÇTÇOï∂éöÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇX
TEL 99-9999-9999Å@ì‡ê¸90123456789012345678901234567890
FAX 99-9999-9999Å@ì‡ê¸90123456789012345678901234567890
EMAIL XXxxxxxxxxx123456789012345678901234567890@XX.ac.jp
URL http://www.000000000000000000000000000000000.ac.jp
KANTEN é–âÔÅEåoçœÇÃî≠ìWÇÃäÓî’Çå`ê¨Ç∑ÇÈêÊå©ê´ÅEënë¢ê´Ç…ïxÇﬁå§ãÜ
KENKYU_KUBUN åvâÊå§ãÜ
RYOIKI_NO 999XX
RYOIKI_RYAKU ÉfÅ[É^ÇWï∂éöÇOÇO
KOMOKU_NO A01
CHOSEIHAN í≤êÆî«
KAIJIKIBO_FLG êRç∏åãâ ÇÃäJé¶ÇäÛñ]Ç∑ÇÈ
EDITION 00
